DecayParticle1_Name DecayParticle1_Boson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_Boson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
b_quark 0 4.18 200.079 -93 111 138 b_quark 0 4.18 167.873 106 -92 -92
tau+ 0 1.78 123.746 21 -105 62 tau- 0 1.78 160.465 -97 31 -124
tau+ 0 1.78 198.709 -65 124 -141 tau- 0 1.78 172.018 87 -57 137
b_quark 0 4.18 214.232 -102 107 -155 b_quark 0 4.18 193.335 13 -126 146
b_quark 0 4.18 228.277 192 123 10 b_quark 0 4.18 165.05 -94 -108 82
tau+ 0 1.78 199.141 98 173 -11 tau- 0 1.78 135.529 -106 -80 27
tau+ 0 1.78 229.066 -6 76 216 tau- 0 1.78 178.685 72 -110 -121
b_quark 0 4.18 162.415 -155 44 -20 b_quark 0 4.18 159.588 61 -97 111
b_quark 0 4.18 99.3553 -78 37 49 b_quark 0 4.18 61.7614 8 -57 22
W+ 1 80.4 137.394 -91 64 -6 W- 1 80.4 100.584 41 -26 36
b_quark 0 4.18 179.386 39 -175 4 b_quark 0 4.18 145.967 -27 132 -56
b_quark 0 4.18 126.172 -21 65 106 b_quark 0 4.18 160.136 32 -49 -149
tau+ 0 1.78 215.093 170 71 111 tau- 0 1.78 123.269 -86 -86 -20
b_quark 0 4.18 164.941 80 58 -132 b_quark 0 4.18 159.66 -56 -117 93
b_quark 0 4.18 272.146 -166 -53 209 b_quark 0 4.18 181.878 101 19 -150
b_quark 0 4.18 247.559 28 210 128 b_quark 0 4.18 165.359 53 -134 -81
Z 1 91.2 278.809 186 186 -15 Z 1 91.2 188.625 -105 -126 19
W+ 1 80.4 220.79 178 -102 14 W- 1 80.4 218.36 -149 130 46
b_quark 0 4.18 173.377 47 148 77 b_quark 0 4.18 133.043 51 -121 21
b_quark 0 4.18 266.555 131 7 -232 b_quark 0 4.18 191.824 -121 23 147
W+ 1 80.4 143.416 -46 18 -108 W- 1 80.4 150.24 114 14 54
W+ 1 80.4 193.21 -171 -5 -40 W- 1 80.4 183.11 120 -83 76
b_quark 0 4.18 196.78 -93 166 50 b_quark 0 4.18 229.797 120 -135 -142
b_quark 0 4.18 205.899 162 -113 58 b_quark 0 4.18 155.25 -89 120 42
b_quark 0 4.18 174.44 -42 -98 -138 b_quark 0 4.18 112.936 36 71 80
b_quark 0 4.18 159.892 -94 106 -74 b_quark 0 4.18 100.591 26 -95 20
b_quark 0 4.18 162.553 69 -6 147 b_quark 0 4.18 173.955 -127 -85 -83
W+ 1 80.4 283.609 -161 132 175 W- 1 80.4 215.725 150 -38 -127
W+ 1 80.4 119.917 38 46 66 W- 1 80.4 159.117 -47 -102 -79
b_quark 0 4.18 248.714 16 212 -129 b_quark 0 4.18 158.001 39 -115 101
b_quark 0 4.18 133.991 44 -40 120 b_quark 0 4.18 132.149 -119 -42 -39
b_quark 0 4.18 124.304 -59 -108 17 b_quark 0 4.18 96.117 2 96 1
b_quark 0 4.18 269.677 -164 86 196 b_quark 0 4.18 185.945 141 -41 -114
Z 1 91.2 147.535 22 -79 82 Z 1 91.2 211.744 -59 131 -126
b_quark 0 4.18 202.757 36 14 -199 b_quark 0 4.18 112.23 9 41 104
W+ 1 80.4 111.692 55 45 31 W- 1 80.4 95.3633 41 -7 -30
b_quark 0 4.18 71.0807 15 29 63 b_quark 0 4.18 87.7865 -67 -8 -56
b_quark 0 4.18 129.35 8 129 -3 b_quark 0 4.18 171.641 45 -137 -93
W+ 1 80.4 223.507 185 71 -65 W- 1 80.4 142.12 -101 13 58
b_quark 0 4.18 239.672 -102 50 211 b_quark 0 4.18 215.136 116 -103 -149
b_quark 0 4.18 89.4845 30 -51 -67 b_quark 0 4.18 112.816 -65 49 78
W+ 1 80.4 180.635 -127 100 -6 W- 1 80.4 127.711 38 -11 91
b_quark 0 4.18 105.969 54 -86 30 b_quark 0 4.18 145.336 -68 116 -55
W+ 1 80.4 124.198 14 -91 22 W- 1 80.4 126.112 36 88 -20
W+ 1 80.4 109.294 66 -33 6 W- 1 80.4 124.941 -9 56 -77
b_quark 0 4.18 300.086 -159 -207 148 b_quark 0 4.18 217.392 123 143 -108
W+ 1 80.4 190.584 104 49 -129 W- 1 80.4 189.571 -144 41 84
W+ 1 80.4 131.161 -77 47 -51 W- 1 80.4 126.401 40 -32 83
b_quark 0 4.18 118.737 -68 -49 -84 b_quark 0 4.18 101.624 42 -25 89
b_quark 0 4.18 88.19 0 -4 88 b_quark 0 4.18 135.626 33 58 -118
b_quark 0 4.18 169.262 62 -142 -68 b_quark 0 4.18 175.29 -17 114 132
tau+ 0 1.78 174.52 -22 -27 171 tau- 0 1.78 185.941 119 -23 -141
b_quark 0 4.18 45.4695 0 39 -23 b_quark 0 4.18 111.101 94 33 49
b_quark 0 4.18 102.467 -67 -68 -37 b_quark 0 4.18 114.872 108 17 35
b_quark 0 4.18 180.985 -33 -175 -32 b_quark 0 4.18 113.435 -57 95 24
b_quark 0 4.18 213.847 168 95 92 b_quark 0 4.18 241.453 -144 -135 -139
b_quark 0 4.18 130.96 77 98 40 b_quark 0 4.18 187.009 -87 -119 -115
b_quark 0 4.18 215.422 -167 -40 130 b_quark 0 4.18 119.518 115 -9 -31
b_quark 0 4.18 230.711 185 51 -128 b_quark 0 4.18 215.561 -143 -140 80
W+ 1 80.4 146.401 101 -68 12 W- 1 80.4 176.04 -27 126 -89
W+ 1 80.4 156.659 -50 113 -53 W- 1 80.4 163.135 103 -96 -18
b_quark 0 4.18 166.068 -79 -146 -2 b_quark 0 4.18 157.316 17 121 99
b_quark 0 4.18 89.2775 -32 73 -40 b_quark 0 4.18 199.691 -63 -149 117
W+ 1 80.4 130.085 68 55 53 W- 1 80.4 82.1594 5 -6 15
b_quark 0 4.18 290.321 -212 187 66 b_quark 0 4.18 189.714 138 -93 -91
b_quark 0 4.18 126.6 60 67 -89 b_quark 0 4.18 9.13632 5 4 -5
b_quark 0 4.18 144.926 -139 -12 39 b_quark 0 4.18 152.615 128 -49 -67
b_quark 0 4.18 290.936 -143 84 239 b_quark 0 4.18 172.984 44 -93 -139
b_quark 0 4.18 231.878 -171 -155 -22 b_quark 0 4.18 205.247 147 126 68
b_quark 0 4.18 149.209 111 -94 33 b_quark 0 4.18 142.624 -128 24 -58
b_quark 0 4.18 207.992 -105 103 147 b_quark 0 4.18 132.648 87 -3 -100
b_quark 0 4.18 192.815 120 38 -146 b_quark 0 4.18 160.395 -124 27 98
b_quark 0 4.18 159.221 -7 -146 63 b_quark 0 4.18 151.398 -66 68 -118
b_quark 0 4.18 168.046 -157 -57 -18 b_quark 0 4.18 184.012 143 113 25
b_quark 0 4.18 242.781 218 76 75 b_quark 0 4.18 159.758 -119 -60 -88
W+ 1 80.4 191.299 -157 21 71 W- 1 80.4 178.836 127 -70 -67
tau+ 0 1.78 225.697 -146 -108 134 tau- 0 1.78 97.5457 72 22 -62
b_quark 0 4.18 215.915 -125 -176 -1 b_quark 0 4.18 144.255 44 134 30
b_quark 0 4.18 195.255 161 75 -81 b_quark 0 4.18 183.901 -129 0 131
b_quark 0 4.18 179.643 27 -158 81 b_quark 0 4.18 73.6171 -4 69 -25
b_quark 0 4.18 101.585 49 85 26 b_quark 0 4.18 128.559 -126 -25 3
b_quark 0 4.18 190.312 97 -146 -74 b_quark 0 4.18 188.686 -123 50 134
b_quark 0 4.18 245.584 -143 194 47 b_quark 0 4.18 232.705 135 -145 -122
b_quark 0 4.18 190.742 -69 -52 170 b_quark 0 4.18 158.134 102 56 -107
b_quark 0 4.18 35.4326 -17 30 7 b_quark 0 4.18 112.603 -39 70 -79
b_quark 0 4.18 147.67 53 88 -106 b_quark 0 4.18 129.017 -28 -120 38
W+ 1 80.4 248.018 -94 -177 122 W- 1 80.4 247.544 147 119 -138
b_quark 0 4.18 89.4398 -49 -66 35 b_quark 0 4.18 87.0257 46 -16 -72
b_quark 0 4.18 64.362 -40 43 26 b_quark 0 4.18 69.5807 -38 44 -38
b_quark 0 4.18 176.041 -88 -123 90 b_quark 0 4.18 182.542 18 108 -146
b_quark 0 4.18 187.143 -96 117 110 b_quark 0 4.18 169.963 93 -114 -85
b_quark 0 4.18 228.062 -211 -75 -43 b_quark 0 4.18 118.032 113 19 28
b_quark 0 4.18 222.936 -97 -125 -157 b_quark 0 4.18 151.692 14 54 141
b_quark 0 4.18 210.211 -179 59 93 b_quark 0 4.18 154.293 139 -52 -42
W+ 1 80.4 314.886 174 202 -147 W- 1 80.4 211.4 -136 -107 91
b_quark 0 4.18 182.58 146 -61 -91 b_quark 0 4.18 168.53 -102 -5 134
b_quark 0 4.18 240.465 159 130 -125 b_quark 0 4.18 152.248 -109 -84 65
b_quark 0 4.18 261.215 -108 -74 226 b_quark 0 4.18 142.56 41 -20 -135
b_quark 0 4.18 234.313 20 -151 -178 b_quark 0 4.18 123.152 37 84 82
W+ 1 80.4 111.522 -17 -28 70 W- 1 80.4 171.576 10 -43 -145
W+ 1 80.4 159.305 57 17 -124 W- 1 80.4 109.732 14 -34 65
W+ 1 80.4 128.27 -38 79 -48 W- 1 80.4 137.583 40 -92 -49
W+ 1 80.4 135.123 48 -29 93 W- 1 80.4 203.49 -128 8 -136
W+ 1 80.4 235.5 82 164 124 W- 1 80.4 180.904 -5 -91 -134
b_quark 0 4.18 203.213 169 -54 99 b_quark 0 4.18 105.316 -92 -39 -33
W+ 1 80.4 142.3 100 -8 61 W- 1 80.4 178.295 -106 -75 -92
tau+ 0 1.78 290.4 188 -184 -123 tau- 0 1.78 216.065 -138 114 121
b_quark 0 4.18 188.877 79 -146 -90 b_quark 0 4.18 94.7812 -3 94 11
b_quark 0 4.18 21.988 0 -21 5 b_quark 0 4.18 108.127 -93 44 -33
b_quark 0 4.18 183.912 -41 -155 90 b_quark 0 4.18 156.171 74 136 -20
b_quark 0 4.18 24.3818 6 21 10 b_quark 0 4.18 91.8067 -81 1 43
b_quark 0 4.18 127.057 -6 31 -123 b_quark 0 4.18 95.5378 27 -85 34
b_quark 0 4.18 255.475 -200 -65 -145 b_quark 0 4.18 174.409 118 114 59
b_quark 0 4.18 240.091 -152 121 141 b_quark 0 4.18 129.852 70 -62 -90
W+ 1 80.4 116.143 50 67 6 W- 1 80.4 125.512 -30 -90 -17
W+ 1 80.4 126.135 63 1 -74 W- 1 80.4 164.305 -16 70 124
b_quark 0 4.18 176.984 -84 81 -133 b_quark 0 4.18 191.717 120 -117 93
b_quark 0 4.18 96.6978 -47 20 82 b_quark 0 4.18 103.569 32 9 -98
W+ 1 80.4 191.241 92 -42 -141 W- 1 80.4 189.13 -77 96 119
b_quark 0 4.18 150.952 -13 98 114 b_quark 0 4.18 124.79 13 -119 -35
b_quark 0 4.18 280.156 -111 -193 -170 b_quark 0 4.18 165.866 93 107 86
b_quark 0 4.18 88.2806 8 76 -44 b_quark 0 4.18 145.858 -96 -104 35
b_quark 0 4.18 220.053 171 -138 -11 b_quark 0 4.18 181.101 -106 138 -50
b_quark 0 4.18 210.819 -53 -197 -53 b_quark 0 4.18 119.371 44 110 -14
W+ 1 80.4 245.172 200 -62 -99 W- 1 80.4 198.359 -120 101 91
W+ 1 80.4 179.7 -96 96 86 W- 1 80.4 116.727 83 -16 -4
b_quark 0 4.18 243.268 -5 76 -231 b_quark 0 4.18 164.056 -90 -29 134
b_quark 0 4.18 206.723 -76 29 -190 b_quark 0 4.18 142.624 18 20 140
b_quark 0 4.18 133.115 75 109 -14 b_quark 0 4.18 158.39 11 -135 -82
tau+ 0 1.78 114.578 2 64 95 tau- 0 1.78 107.038 -62 -37 -79
b_quark 0 4.18 237.357 -194 -27 134 b_quark 0 4.18 175.498 109 55 -126
b_quark 0 4.18 214.083 123 171 38 b_quark 0 4.18 183.65 -111 -130 -67
W+ 1 80.4 247.564 80 -30 -218 W- 1 80.4 164.788 -79 17 119
b_quark 0 4.18 113.712 77 30 78 b_quark 0 4.18 166.956 -20 -129 -104
W+ 1 80.4 242.225 77 -62 206 W- 1 80.4 162.743 -72 -14 -121
b_quark 0 4.18 296.684 -92 186 212 b_quark 0 4.18 222.17 99 -146 -135
b_quark 0 4.18 166.402 -94 130 -44 b_quark 0 4.18 89.9248 68 -57 14
W+ 1 80.4 115.902 14 -7 82 W- 1 80.4 165.273 -87 -31 -111
b_quark 0 4.18 148.645 -15 123 -82 b_quark 0 4.18 172.865 -65 -142 74
b_quark 0 4.18 129.257 -43 96 75 b_quark 0 4.18 23.0754 15 -1 -17
b_quark 0 4.18 133.145 -117 -50 39 b_quark 0 4.18 155.189 117 99 -24
b_quark 0 4.18 188.94 144 28 -119 b_quark 0 4.18 152.979 -112 -29 100
W+ 1 80.4 198.51 -46 -99 145 W- 1 80.4 152.329 -24 42 -120
tau+ 0 1.78 153.545 100 -98 -63 tau- 0 1.78 207.837 -140 123 92
b_quark 0 4.18 142.164 -116 -76 31 b_quark 0 4.18 125.038 117 38 22
W+ 1 80.4 145.138 52 109 4 W- 1 80.4 127.449 -45 -85 -23
b_quark 0 4.18 257.613 -229 -45 109 b_quark 0 4.18 191.143 138 43 -125
W+ 1 80.4 132.989 103 17 -18 W- 1 80.4 141.344 -36 73 83
b_quark 0 4.18 193.547 131 -139 -31 b_quark 0 4.18 177.027 -132 99 64
W+ 1 80.4 184.502 39 134 -90 W- 1 80.4 118.153 -34 -34 72
b_quark 0 4.18 109.309 101 37 -19 b_quark 0 4.18 212.707 -113 -137 117
b_quark 0 4.18 191.482 162 0 -102 b_quark 0 4.18 213.252 -147 -63 141
b_quark 0 4.18 181.999 -119 -132 39 b_quark 0 4.18 113.307 94 41 -48
b_quark 0 4.18 149.765 -66 130 -34 b_quark 0 4.18 159.435 129 -56 75
b_quark 0 4.18 215.145 -55 -186 -93 b_quark 0 4.18 185.525 -36 115 141
W+ 1 80.4 153.327 25 72 -106 W- 1 80.4 115.802 -9 -76 33
tau+ 0 1.78 108.982 -28 -97 41 tau- 0 1.78 67.4179 -59 10 -31
b_quark 0 4.18 175.509 53 -131 104 b_quark 0 4.18 56.4488 33 44 -12
b_quark 0 4.18 106.988 92 -39 -38 b_quark 0 4.18 55.2763 -3 55 -2
b_quark 0 4.18 189.495 -9 187 29 b_quark 0 4.18 163.13 -63 -140 -55
W+ 1 80.4 132.405 41 -95 -19 W- 1 80.4 185.065 -107 120 44
b_quark 0 4.18 166.381 147 70 34 b_quark 0 4.18 201.679 -135 -84 -124
W+ 1 80.4 231.701 -95 186 -60 W- 1 80.4 146.578 82 -91 -4
b_quark 0 4.18 94.4165 -65 -64 24 b_quark 0 4.18 219.953 121 139 -120
W+ 1 80.4 153.187 96 -55 -69 W- 1 80.4 187.558 -101 33 132
b_quark 0 4.18 220.888 -211 53 -38 b_quark 0 4.18 123.675 119 -26 -21
b_quark 0 4.18 245.804 -59 35 -236 b_quark 0 4.18 151.56 -5 32 148
b_quark 0 4.18 192.947 185 45 -31 b_quark 0 4.18 145.312 -137 5 -48
b_quark 0 4.18 177.557 -72 -153 54 b_quark 0 4.18 152.818 56 90 -110
W+ 1 80.4 270.291 -218 -138 -5 W- 1 80.4 185.378 134 96 -27
W+ 1 80.4 126.211 88 -40 -11 W- 1 80.4 152.899 -125 35 8
b_quark 0 4.18 45.0052 -30 28 18 b_quark 0 4.18 109.007 82 46 55
b_quark 0 4.18 195.978 -117 26 155 b_quark 0 4.18 111.241 92 -23 -58
b_quark 0 4.18 126.434 -60 88 68 b_quark 0 4.18 212.806 100 -150 -113
tau+ 0 1.78 128.285 75 98 -35 tau- 0 1.78 135.175 18 -67 116
b_quark 0 4.18 296.35 171 193 -146 b_quark 0 4.18 178.086 -77 -138 82
b_quark 0 4.18 165.21 48 -3 -158 b_quark 0 4.18 78.8319 -23 48 58
b_quark 0 4.18 117.314 0 -56 -103 b_quark 0 4.18 142.872 -17 15 141
b_quark 0 4.18 128.866 -48 -86 83 b_quark 0 4.18 147.484 97 65 -90
b_quark 0 4.18 108.201 -87 -61 20 b_quark 0 4.18 127.36 23 107 65
W+ 1 80.4 161.301 -37 -124 53 W- 1 80.4 155.965 122 49 -24
b_quark 0 4.18 155.803 -48 -7 148 b_quark 0 4.18 161.822 112 -85 -80
b_quark 0 4.18 239.647 -158 -7 -180 b_quark 0 4.18 177.647 73 -74 144
b_quark 0 4.18 224.641 -42 -179 -129 b_quark 0 4.18 122.309 22 83 87
W+ 1 80.4 169.048 -32 8 145 W- 1 80.4 154.111 -23 89 -94
tau+ 0 1.78 215.497 -160 144 10 tau- 0 1.78 159.274 146 -55 32
b_quark 0 4.18 153.292 -86 -103 -74 b_quark 0 4.18 209.62 149 49 139
b_quark 0 4.18 204.346 6 -198 -50 b_quark 0 4.18 158.479 -41 139 64
b_quark 0 4.18 212.91 85 138 138 b_quark 0 4.18 189.93 -4 -126 -142
b_quark 0 4.18 278.12 -122 185 -168 b_quark 0 4.18 205.391 58 -130 148
b_quark 0 4.18 143.748 5 115 -86 b_quark 0 4.18 185.398 91 -143 75
b_quark 0 4.18 163.087 142 80 4 b_quark 0 4.18 191.127 -124 -144 -20
b_quark 0 4.18 70.1033 42 -37 -42 b_quark 0 4.18 74.8563 -56 -35 -35
b_quark 0 4.18 108.312 63 -71 -52 b_quark 0 4.18 153.497 30 12 150
b_quark 0 4.18 131.284 80 -87 -57 b_quark 0 4.18 160.513 -149 39 45
b_quark 0 4.18 226.218 138 108 143 b_quark 0 4.18 144.314 -75 -72 -100
W+ 1 80.4 230.508 130 -23 171 W- 1 80.4 216.562 -135 87 -121
b_quark 0 4.18 171.897 57 -151 -59 b_quark 0 4.18 178.669 -149 98 -10
b_quark 0 4.18 234.816 -200 64 -105 b_quark 0 4.18 114.296 106 17 39
b_quark 0 4.18 134.337 48 -83 -94 b_quark 0 4.18 83.7286 -67 -2 50
b_quark 0 4.18 196.752 -2 -187 61 b_quark 0 4.18 205.094 102 111 -139
b_quark 0 4.18 101.491 -11 99 -19 b_quark 0 4.18 143.344 -51 -125 48
b_quark 0 4.18 174.386 137 -82 -70 b_quark 0 4.18 194.888 -142 30 130
b_quark 0 4.18 225.505 -85 -133 161 b_quark 0 4.18 159.382 101 72 -100
W+ 1 80.4 190.77 -88 48 -141 W- 1 80.4 188.754 78 42 146
b_quark 0 4.18 102.511 19 89 -47 b_quark 0 4.18 134.486 -73 -56 98
b_quark 0 4.18 66.2304 -30 -45 38 b_quark 0 4.18 113.325 7 26 -110
W+ 1 80.4 135.714 13 93 56 W- 1 80.4 154.564 85 -20 -99
tau+ 0 1.78 189.188 102 -59 148 tau- 0 1.78 117.865 -52 68 -81
b_quark 0 4.18 173.725 -165 27 -47 b_quark 0 4.18 90.7054 65 -48 -41
b_quark 0 4.18 144.936 -102 -37 -96 b_quark 0 4.18 178.943 133 -33 115
b_quark 0 4.18 214.078 60 -176 -106 b_quark 0 4.18 202.239 -143 105 97
W+ 1 80.4 249.476 -197 102 81 W- 1 80.4 195.075 147 -75 -66
b_quark 0 4.18 174.713 17 173 -17 b_quark 0 4.18 178.895 -64 -133 101
W+ 1 80.4 203.75 -65 60 165 W- 1 80.4 175.058 66 40 -135
b_quark 0 4.18 175.315 78 -147 -55 b_quark 0 4.18 144.608 -46 137 -3
b_quark 0 4.18 248.166 112 161 -152 b_quark 0 4.18 200.615 -114 -148 73
W+ 1 80.4 183.799 -53 22 155 W- 1 80.4 171.511 24 -74 -130
tau+ 0 1.78 38.9508 -32 21 -7 tau- 0 1.78 94.6423 -56 -43 63
b_quark 0 4.18 141.773 -56 89 -95 b_quark 0 4.18 147.121 137 7 53
b_quark 0 4.18 143.229 -16 60 -129 b_quark 0 4.18 150.368 -70 2 133
b_quark 0 4.18 172.417 -89 -90 -117 b_quark 0 4.18 36.1036 18 -1 31
tau+ 0 1.78 229.493 2 26 228 tau- 0 1.78 142.099 0 50 -133
b_quark 0 4.18 118.171 -91 -25 -71 b_quark 0 4.18 75.0365 10 53 52
b_quark 0 4.18 149.464 -73 -73 108 b_quark 0 4.18 52.4354 -6 -14 -50
b_quark 0 4.18 241.047 -46 107 211 b_quark 0 4.18 182.93 95 -110 -111
b_quark 0 4.18 71.4526 -40 28 52 b_quark 0 4.18 161.327 92 -99 -88
b_quark 0 4.18 192.885 -119 -115 -99 b_quark 0 4.18 140.398 113 83 6
W+ 1 80.4 179.647 -97 -4 128 W- 1 80.4 140.011 13 -33 -109
b_quark 0 4.18 179.832 -131 44 115 b_quark 0 4.18 127.579 107 29 -63
b_quark 0 4.18 157.751 102 -8 120 b_quark 0 4.18 160.787 -33 61 -145
b_quark 0 4.18 167.724 -147 77 24 b_quark 0 4.18 146.217 103 -103 12
b_quark 0 4.18 204.192 -76 -174 -75 b_quark 0 4.18 142.855 -15 86 113
b_quark 0 4.18 116.57 57 11 -101 b_quark 0 4.18 76.0689 16 52 53
